,Symbol,Exchange,Volume,Volume %,+2% Depth,-2% Depth
9833,DOT/THB,Satang Pro,17897.79844891,0.000913964783327522,10205.73768365,1625.80270156
9834,DOT/SHIB,OpenOcean,991.50715767,5.0632072269354305e-05,0.0,0.0
9835,DOT/RUB,Binance,65577.17408107,0.003348748611250925,66639.80289339,36929.04852276
9836,DOT/QC,ZBG,311866.16290085,0.01592568442518247,140117.11273136,138120.94727461
9837,DOT/PLN,BitBay,169773.25696573,0.00866960137362263,33941.55342073,79097.90641166
9838,DOT/PASTA,PancakeSwap,976.23886244,4.9852385081485826e-05,0.0,0.0
9839,DOT/NZD,Independent Reserve,1845.17099333,9.422506974447391e-05,28767.85555432,33019.71592011
9840,DOT/KRW,Upbit,65246149.06956724,3.3318445655506816,253838.32845462,1291868.76146849
9841,DOT/KRW,Bithumb,46324209.24966974,2.3655812188605614,426959.35716646,992662.19689773
9842,DOT/KRW,Coinone,2453606.98270077,0.12529531946157185,110877.28370581,132833.09411143
9843,DOT/KRW,Korbit,452033.06257404,0.023083414492105842,52897.29672998,69201.40392656
9844,DOT/KRW,HOTBIT KOREA,0.0,0.0,56085.12514897,75349.2211503
9845,DOT/KCS,KuCoin,46096.77744462,0.002353967239576046,33204.76734711,28309.0241362
9846,DOT/IRR,FarhadMarket,373672.32732659,0.01908186354067122,696.4840778,38.0751702
9847,DOT/INR,WazirX,929979.57234632,0.04749011900903879,6592.31968863,58529.5068279
9848,DOT/INR,Bitbns,705997.42055781,0.036052298909936886,373859.14919196,166806.52582792
9849,DOT/INR,CoinDCX,402900.76403743,0.020574436043467058,2944.12666549,8093.86293614
9850,DOT/INR,Giottus,164.96745233,8.424189279775026e-06,280.13230301,2332.04869668
9851,DOT/IDR,Indodax,920477.60637008,0.04700489384017515,265169.13304705,271709.29838772
9852,DOT/IDR,Zipmex,15986.13023877,0.0008163439822853062,406412.93290545,494810.30053108
9853,DOT/HUSD,Huobi Global,1015990.52468207,0.05188233415436719,23278.98443833,52233.80978872
9854,DOT/GBP,Coinbase Exchange,4840296.39360437,0.2471734418760885,315876.74176075,325182.02121521
9855,DOT/GBP,Kraken,1089110.30082468,0.0556162515157624,294781.6765395,202323.49474529
9856,DOT/GBP,Binance,868468.19559875,0.04434899345207431,90165.47688381,49930.49934726
9857,DOT/GBP,BitBay,187.43397448,9.571459437474129e-06,8688.47472296,2802.18609023
9858,DOT/EUR,Kraken,12340050.38764852,0.6301541226420921,1529397.5366319,1747821.44304769
9859,DOT/EUR,Coinbase Exchange,8350596.20651496,0.42642958989226293,388661.92974236,468495.76598599
9860,DOT/EUR,Binance,6000368.84364666,0.30641342988208264,193719.41593623,253585.45513881
9861,DOT/EUR,Bitpanda Pro,134739.91711031,0.006880597046548626,37307.52786449,29960.45124941
